,SpikeTimes,ClusterIDs,session
203,81.0898836633989,6,1
204,81.511792163306,6,1
205,81.9508010077222,5,1
206,82.2481569983535,6,1
207,82.3600092517657,6,1
208,82.5549631793715,6,1
209,82.5697134765358,6,1
210,82.5747635782768,6,1
211,83.8261387888924,6,1
212,85.7793781394931,5,1
213,88.7891387751183,6,1
214,90.2198675990505,6,1
215,90.2328678609581,6,1
216,90.5876250080119,6,1
217,90.6866770035459,6,1
218,90.7747287774658,6,1
220,92.9299221966995,6,1
221,93.002173652301,6,1
222,93.0339742929672,6,1
223,93.0411744380237,6,1
224,93.1641769160719,6,1
225,93.2603788541877,6,1
226,93.2857793659148,6,1
227,93.2964295804775,6,1
229,94.968813272868,6,1
230,95.107966076286,6,1
231,96.2063382044513,5,1
233,99.2574996741512,6,1
234,100.246519599271,6,1
235,100.25911985312,6,1
236,100.264419959898,6,1
237,100.403572763316,6,1
238,100.905632877983,6,1
239,102.184058633568,6,1
240,102.195258859212,6,1
241,102.317561323157,6,1
242,102.439563781059,6,1
243,102.533665676866,6,1
244,102.536865741336,6,1
245,103.089276870392,6,1
246,103.381232752231,5,1
247,103.560486363533,6,1
248,103.635287870508,6,1
249,103.933643881286,6,1
250,104.017195564546,6,1
251,104.292851117993,6,1
252,105.024465857344,6,1
253,105.721729904654,6,1
254,106.080637135317,6,1
255,106.96595497122,6,1
256,107.076207192398,6,1
257,107.137808433437,6,1
258,107.193259550573,6,1
259,107.198609658358,6,1
260,107.205809803415,6,1
261,107.4469646618,6,1
262,110.786781946854,5,1
263,111.478445881343,6,1
264,111.737451099347,6,1
265,111.739951149714,6,1
266,111.827452912553,6,1
267,111.830452972993,6,1
268,111.838703139204,6,1
269,112.104758499242,5,1
270,112.648969463095,6,1
271,112.878924095836,6,1
272,112.885124220746,6,1
273,112.901024541079,6,1
274,112.998926513444,6,1
275,113.005276641376,6,1
276,113.035477249808,6,1
277,113.159679752032,6,1
278,113.230481178421,6,1
279,113.379834187335,6,1
280,113.492836463916,6,1
281,113.922545120968,5,1
282,113.956945814016,4,1
283,114.005246787103,5,1
284,114.083748368621,6,1
285,114.797762753389,6,1
286,115.426975429714,6,1
287,115.561628142472,6,1
288,115.703881008345,6,1
289,115.729081516043,6,1
290,116.349194009032,6,1
291,116.420445444487,6,1
292,116.4457459542,6,1
294,120.703581733956,6,1
295,122.966677327022,6,1
296,123.174431512506,6,1
297,123.424886558256,6,1
299,125.879836016473,6,1
300,126.077489998475,6,1
302,128.903946941204,6,1
303,129.977018559657,6,1
304,130.082420683122,6,1
305,130.088870813069,6,1
306,130.57828067288,6,1
307,131.361996461876,4,1
308,134.469109058786,6,1
309,137.943579056598,5,1
310,138.00418027749,4,1
311,140.436229274347,6,1
312,140.677334131725,6,1
313,141.149743649042,6,1
314,141.201444690628,6,1
315,141.232995326257,6,1
316,141.787106489563,6,1
317,142.983580594122,6,1
318,143.109083122537,6,1
319,143.14283380249,6,1
320,143.332237618281,6,1
321,143.420739401267,6,1
322,143.91669939304,6,1
323,144.143753967356,6,1
324,144.148604065067,6,1
325,144.242855963897,6,1
326,144.247956066645,6,1
327,144.253156171408,6,1
328,144.348158085348,6,1
329,144.350458131686,6,1
330,144.360958343226,6,1
331,144.364158407696,6,1
332,144.422709587287,6,1
333,144.429259719248,6,1
334,144.448660110095,6,1
335,144.451460166506,6,1
336,144.470110542242,6,1
337,144.472560591602,6,1
338,144.524161631173,6,1
339,145.137023978099,6,1
341,145.368478641061,6,1
342,146.146944324286,6,1
343,146.275446913141,6,1
345,147.562172835944,6,1
346,148.483141390078,6,1
347,148.653644825097,6,1
348,148.663545024549,6,1
349,148.666695088011,6,1
350,148.764897066421,6,1
351,148.774947268895,6,1
352,148.790747587214,6,1
